champion,synergy_degree,synergy_degree_centrality,synergy_weighted_degree,synergy_betweenness,synergy_closeness,synergy_eigenvector,synergy_pagerank,counter_in_degree,counter_out_degree,counter_weighted_in_degree,counter_weighted_out_degree,counter_in_degree_centrality,counter_out_degree_centrality,counter_pagerank,counter_betweenness,counter_hits_hub,counter_hits_authority
Jax,18.0,0.13846153846153847,9.797897976206801,0.0015903676885979927,0.5038759689922481,0.031185817652366592,0.004559496204104336,27.0,29.0,13.685776029526028,12.793966450216452,0.18367346938775508,0.19727891156462585,0.0060309778138313945,0.0038406583700668954,0.003118144081077914,0.0035871350212008267
Dr. Mundo,19.0,0.14615384615384616,10.204559329559332,0.0026483952513741437,0.5038759689922481,0.03532898813722284,0.004808534157285853,24.0,23.0,9.278860028860029,8.652722277722278,0.16326530612244897,0.1564625850340136,0.004463835990828889,0.0029998751284952083,0.0029201175543507366,0.0027157717872326927
Senna,14.0,0.1076923076923077,5.828823953823953,0.0008669519687934078,0.48872180451127817,0.015574903594420403,0.003186328739025016,27.0,22.0,15.803606116106117,12.419174178075105,0.18367346938775508,0.14965986394557823,0.006676894328038149,0.002382545466439986,0.004941571813214495,0.0054856346041645765
Mel,15.0,0.11538461538461539,6.923701298701298,0.002202219684837296,0.48148148148148145,0.014437627454446779,0.0038308566770618897,44.0,19.0,47.80781599651156,6.542011501570325,0.29931972789115646,0.1292517006802721,0.015516540561601627,0.004872866593566353,0.0016822426613463276,0.019620011021621676
LeBlanc,25.0,0.19230769230769232,11.728254384504384,0.00535755620664502,0.5241935483870968,0.0292881225567658,0.005497838085888229,31.0,26.0,15.385638054755706,13.661449661449662,0.21088435374149658,0.17687074829931973,0.007813169051551628,0.005204487899902807,0.005334790706262701,0.004720145293808368
Taliyah,23.0,0.17692307692307693,11.203289866333348,0.0035396592560415674,0.5138339920948617,0.035228947478354145,0.004965996910792495,34.0,31.0,30.6644156209565,17.89209609395705,0.2312925170068027,0.21088435374149658,0.00918180703806289,0.0056562472059427755,0.007452879932069978,0.0107296199094893
Zeri,12.0,0.09230769230769231,3.907377344877344,0.0011496841144621208,0.49056603773584906,0.011182015801081182,0.0025350644897594475,24.0,15.0,11.208097458097463,5.815746753246754,0.16326530612244897,0.10204081632653061,0.003879706483714691,0.001793700198959432,0.0023143936378706375,0.004774520927544499
Sylas,14.0,0.1076923076923077,5.817279942279942,0.0017560150569481574,0.47619047619047616,0.017127256871320776,0.0033234315094259363,38.0,21.0,22.53740429891745,7.399801587301587,0.2585034013605442,0.14285714285714285,0.009403331307192396,0.004930954233233614,0.0023406892275148698,0.006139590609420647
Gragas,19.0,0.14615384615384616,7.975198412698412,0.018046755350791966,0.5098039215686274,0.014442701735124248,0.005029057359114858,17.0,19.0,6.319895382395383,8.4869227994228,0.11564625850340135,0.1292517006802721,0.0028723578458920763,0.0014387541406927927,0.0019418205125095686,0.0021356780391509466
Nasus,11.0,0.08461538461538462,4.559343434343433,0.0007775716052533299,0.4727272727272727,0.010391452360163892,0.002764950136295189,1.0,12.0,0.2857142857142858,4.165674603174603,0.006802721088435374,0.08163265306122448,0.0014161057560119355,0.0002740684480067602,0.0012223837517120568,6.268774660464893e-06
Cho'Gath,3.0,0.023076923076923078,1.5208333333333335,6.62085545806476e-05,0.38461538461538464,0.0014166461177593686,0.0019723126467517393,18.0,4.0,7.028589466089465,0.9464285714285716,0.12244897959183673,0.027210884353741496,0.0035389723313200864,0.0003826782782043329,0.000253302556755716,0.0022587347322474724
Tristana,14.0,0.1076923076923077,4.795634920634921,0.005449208530315626,0.48872180451127817,0.006571349641079723,0.003836495391338717,34.0,11.0,11.617007992007995,4.14186507936508,0.2312925170068027,0.07482993197278912,0.00497580119713434,0.0018306749006138173,0.001192793349416165,0.003969057174613145
Poppy,16.0,0.12307692307692308,6.44426406926407,0.007671542054202587,0.48507462686567165,0.01965264790739331,0.003931835725730593,13.0,26.0,4.482142857142857,8.551046176046174,0.08843537414965986,0.17687074829931973,0.002774176716689788,0.003487509879020064,0.0026692377784216246,0.0014744427290719119
Amumu,8.0,0.06153846153846154,2.9692460317460316,0.015517565317293472,0.44982698961937717,0.004848109674840964,0.0034383382602798914,1.0,13.0,0.2857142857142858,4.5476190476190474,0.006802721088435374,0.08843537414965986,0.0011757040470343804,0.0001392183436714715,0.0006938876888053673,3.357184225266489e-05
Rek'Sai,12.0,0.09230769230769231,3.621031746031747,0.0010756749233812324,0.48872180451127817,0.010768955105283536,0.002447502443380814,17.0,18.0,7.013528138528138,7.300414862914862,0.11564625850340135,0.12244897959183673,0.0027925858455920497,0.001213740435539342,0.002476766584005717,0.0026937706284229927
