patch,patch_number,champion,patch_matches,picks,wins,bans,win_rate,smoothed_win_rate,pick_rate,ban_rate,presence_rate,op_score,op_rank,is_high_pro_presence_reference
26.11,2611,Xerath,400,5,0,0,0.0,0.25,0.0125,0.0,0.0125,0.008749999999999999,135,False
26.11,2611,Darius,400,4,2,0,0.5,0.5,0.01,0.0,0.01,0.006999999999999999,136,False
26.11,2611,Elise,400,2,1,2,0.5,0.5,0.005,0.005,0.01,0.006999999999999999,137,False
26.11,2611,Malzahar,400,4,2,0,0.5,0.5,0.01,0.0,0.01,0.006999999999999999,138,False
26.11,2611,Zed,400,2,1,2,0.5,0.5,0.005,0.005,0.01,0.006999999999999999,139,False
26.11,2611,Garen,400,3,1,1,0.3333333333333333,0.4375,0.0075,0.0025,0.01,0.006999999999999999,140,False
26.11,2611,Tahm Kench,400,4,1,0,0.25,0.3888888888888889,0.01,0.0,0.01,0.006999999999999999,141,False
26.11,2611,Hecarim,400,1,0,2,0.0,0.4166666666666667,0.0025,0.005,0.0075,0.0052499999999999995,142,False
26.11,2611,Katarina,400,1,0,2,0.0,0.4166666666666667,0.0025,0.005,0.0075,0.0052499999999999995,143,False
26.11,2611,Master Yi,400,1,0,2,0.0,0.4166666666666667,0.0025,0.005,0.0075,0.0052499999999999995,144,False
26.11,2611,Samira,400,1,0,2,0.0,0.4166666666666667,0.0025,0.005,0.0075,0.0052499999999999995,145,False
26.11,2611,Ekko,400,1,0,1,0.0,0.4166666666666667,0.0025,0.0025,0.005,0.0034999999999999996,146,False
26.11,2611,Tryndamere,400,1,0,1,0.0,0.4166666666666667,0.0025,0.0025,0.005,0.0034999999999999996,147,False
26.11,2611,Kindred,400,2,0,0,0.0,0.35714285714285715,0.005,0.0,0.005,0.0034999999999999996,148,False
26.11,2611,Swain,400,2,0,0,0.0,0.35714285714285715,0.005,0.0,0.005,0.0034999999999999996,149,False
26.11,2611,Taric,400,2,0,0,0.0,0.35714285714285715,0.005,0.0,0.005,0.0034999999999999996,150,False
26.11,2611,Twitch,400,2,0,0,0.0,0.35714285714285715,0.005,0.0,0.005,0.0034999999999999996,151,False
26.11,2611,Janna,400,0,0,1,,0.5,0.0,0.0025,0.0025,0.0017499999999999998,152,False
26.11,2611,Akshan,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,153,False
26.11,2611,Draven,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,154,False
26.11,2611,Nidalee,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,155,False
26.11,2611,Quinn,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,156,False
26.11,2611,Shaco,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,157,False
26.11,2611,Sona,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,158,False
26.11,2611,Zac,400,1,0,0,0.0,0.4166666666666667,0.0025,0.0,0.0025,0.0017499999999999998,159,False
26.10,2610,Orianna,804,117,56,484,0.47863247863247865,0.47950819672131145,0.1455223880597015,0.6019900497512438,0.7475124378109452,0.5232587064676616,1,True
26.10,2610,Varus,804,111,57,436,0.5135135135135135,0.5129310344827587,0.13805970149253732,0.5422885572139303,0.6803482587064676,0.4840024017841825,2,True
26.10,2610,Nocturne,804,100,62,370,0.62,0.6142857142857143,0.12437810945273632,0.4601990049751244,0.5845771144278606,0.47777540867093105,3,True
26.10,2610,Jarvan IV,804,166,88,326,0.5301204819277109,0.5292397660818714,0.2064676616915423,0.4054726368159204,0.6119402985074627,0.4459020686043467,4,True
26.10,2610,Karma,804,140,59,342,0.42142857142857143,0.4241379310344828,0.17412935323383086,0.4253731343283582,0.599502487562189,0.41965174129353233,5,True
26.10,2610,Nautilus,804,180,83,267,0.46111111111111114,0.46216216216216216,0.22388059701492538,0.332089552238806,0.5559701492537313,0.3891791044776119,6,True
