source,target,teams_using_both,teams_using_pair_with_op_context
Nami,Rumble,103,0
Jayce,Wukong,103,0
Anivia,Bard,102,0
Caitlyn,Neeko,102,0
Jarvan IV,Lee Sin,102,0
Karma,Nami,102,0
Lee Sin,Nautilus,102,0
Sion,Sivir,102,0
Akali,Seraphine,102,0
Anivia,Ryze,102,0
Annie,Lucian,102,0
Lucian,Nami,102,0
Lee Sin,Ryze,102,0
Gnar,Orianna,102,0
Jayce,Pantheon,102,0
Pantheon,Renekton,102,0
Cassiopeia,Nocturne,101,35
Jhin,Nocturne,101,33
Nocturne,Orianna,101,27
Ambessa,Viktor,101,0
Aurora,Nami,101,0
Aurora,Neeko,101,0
Caitlyn,Yunara,101,0
Nami,Viktor,101,0
Sivir,Wukong,101,0
Caitlyn,Orianna,101,0
Caitlyn,Renekton,101,0
Orianna,Renekton,101,0
Ambessa,Vi,101,0
Ambessa,Orianna,101,0
Ryze,Skarner,101,0
Cassiopeia,Vi,101,0
Jhin,Orianna,101,0
Jhin,Vi,101,0
Lee Sin,Seraphine,101,0
Milio,Naafiri,101,0
Akali,Ryze,101,0
K'Sante,Varus,101,0
Rumble,Varus,101,0
Milio,Renekton,101,0
Ambessa,Nocturne,100,32
Nocturne,Yunara,100,26
Aurora,Cassiopeia,100,0
Ambessa,Lulu,100,0
Annie,Wukong,100,0
Annie,Milio,100,0
Annie,Ryze,100,0
Orianna,Viktor,100,0
Ahri,Varus,100,0
Naafiri,Viktor,100,0
Jayce,K'Sante,100,0
Jayce,Karma,100,0
Annie,Bard,100,0
Renekton,Viktor,100,0
Lulu,Nocturne,99,28
Bard,Skarner,99,0
Gnar,Neeko,99,0
Neeko,Viktor,99,0
Ahri,Ambessa,99,0
Annie,Aurora,99,0
Corki,Ezreal,99,0
Annie,Ashe,99,0
Caitlyn,Lulu,99,0
Milio,Skarner,99,0
Seraphine,Skarner,99,0
Ahri,Neeko,99,0
Cassiopeia,Jhin,99,0
Karma,Naafiri,99,0
Naafiri,Pantheon,99,0
Lucian,Varus,99,0
Ambessa,Jhin,99,0
Gnar,Renekton,99,0
Ambessa,Yunara,98,0
Cassiopeia,Yunara,98,0
Corki,Jarvan IV,98,0
Corki,Nami,98,0
Jarvan IV,Rakan,98,0
Anivia,K'Sante,98,0
Anivia,Lucian,98,0
Annie,Seraphine,98,0
Cassiopeia,Lulu,98,0
Lucian,Skarner,98,0
Lucian,Naafiri,98,0
Milio,Nami,98,0
Caitlyn,Jayce,98,0
Neeko,Nocturne,97,30
Ambessa,Cassiopeia,97,0
Anivia,Nautilus,97,0
Aurora,Lee Sin,97,0
Bard,Sivir,97,0
Caitlyn,Nami,97,0
Gnar,Nami,97,0
Nautilus,Skarner,97,0
Annie,K'Sante,97,0
Anivia,Ashe,97,0
Anivia,Milio,97,0
Neeko,Orianna,97,0
Ryze,Sivir,97,0
Caitlyn,Naafiri,97,0
Jarvan IV,Rell,97,0
Aurora,Varus,97,0
Milio,Varus,97,0
Gnar,Varus,97,0
Cassiopeia,Jayce,97,0
K'Sante,Lee Sin,97,0
Lee Sin,Rumble,97,0
Ahri,Renekton,97,0
Renekton,Vi,97,0
